Holding	Category	RebalancingWeight	CurrentWeight
Bitcoin (BTC)	Value	15.00 %	14.65 %
Ethereum (ETH)	Platform	14.15 %	13.97 %
Dash (DASH)	Anonymity	12.60 %	12.53 %
Monero (XMR)	Anonymity	12.34 %	12.41 %
Lisk (LSK)	Platform	10.22 %	10.45 %
Waves (WAVES)	Programmable Platform	5.73 %	5.63 %
Steem (STEEM)	Media	4.42 %	4.43 %
Augur (REP)	Prediction	3.65 %	3.73 %
Golem (GNT)	Decentralized Computing	3.34 %	3.25 %
MaidSafeCoin (MAID)	Storage	2.83 %	2.87 %
Basic Attention Token (BAT)	Advertisement	2.78 %	2.73 %
DigixDAO (DGD)	Value Gold	2.71 %	2.64 %
Factom (FCT)	Audit	2.18 %	2.45 %
GameCredits (GAME)	Gaming	2.08 %	2.20 %
Siacoin (SC)	Storage	2.05 %	2.13 %
SingularDTV (SNGLS)	Media / TV	1.49 %	1.57 %
iExec (RLC)	Decentralized Computing	0.90 %	0.81 %
Aragon (ANT)	Enterprise Management	0.70 %	0.72 %
WeTrust (TRST)	Lending	0.41 %	0.40 %
Synereo (AMP)	Platform	0.21 %	0.22 %
Matchpool (GUP)	Matchmaking	0.21 %	0.21 %
