Holding	Category	RebalancingWeight	CurrentWeight
Aragon (ANT)	Enterprise Management	4.00 %	3.64 %
iExec (RLC)	Decentralized Computing	4.00 %	5.90 %
WeTrust (TRST)	Lending	4.00 %	3.88 %
Lisk (LSK)	Platform	4.00 %	3.47 %
Steem (STEEM)	Media	4.00 %	3.14 %
Numeraire (NMR)	Hedge Fund	4.00 %	3.56 %
TenX (PAY)	Debit Card	4.00 %	3.45 %
Ethereum (ETH)	Platform	4.00 %	4.79 %
Cofound.it (CFI)	Crowdfunding Platform	4.00 %	3.00 %
Bancor (BNT)	Financial Derivative	4.00 %	4.14 %
OmiseGO (OMG)	Decentralized Exchange and Payments Platform	4.00 %	3.38 %
Storj (STORJ)	Storage	4.00 %	4.61 %
Civic (CVC)	Identity Management	4.00 %	4.26 %
DigixDAO (DGD)	Value Gold	4.00 %	4.12 %
MaidSafeCoin (MAID)	Storage	4.00 %	3.12 %
Waves (WAVES)	Programmable Platform	4.00 %	3.37 %
Golem (GNT)	Decentralized Computing	4.00 %	3.63 %
WINGS (WINGS)	Platform	4.00 %	3.60 %
Bitcoin (BTC)	Value	4.00 %	7.27 %
SingularDTV (SNGLS)	Media / TV	4.00 %	3.87 %
Status (SNT)	Smartphone Ethereum Gateway	4.00 %	6.18 %
Dash (DASH)	Anonymity	4.00 %	4.34 %
Basic Attention Token (BAT)	Advertisement	4.00 %	2.56 %
Augur (REP)	Prediction	4.00 %	4.15 %
Metal (MTL)	Payment Service	4.00 %	2.59 %
