Holding	Category	RebalancingWeight	CurrentWeight
0x (ZRX)	Decentralized Exchange Protocol	18.00 %	18.04 %
Ethereum (ETH)	Platform	18.00 %	17.41 %
Bitcoin (BTC)	Value	10.00 %	8.69 %
FunFair (FUN)	Gambling Platform	10.00 %	8.94 %
Metal (MTL)	Payment Service	10.00 %	8.79 %
Aragon (ANT)	Enterprise Management	8.00 %	11.40 %
OmiseGO (OMG)	Decentralized Exchange and Payments Platform	8.00 %	8.46 %
SingularDTV (SNGLS)	Media / TV	5.00 %	4.87 %
Waves (WAVES)	Programmable Platform	3.00 %	3.32 %
Civic (CVC)	Identity Management	3.00 %	3.17 %
iExec (RLC)	Decentralized Computing	3.00 %	3.16 %
DigixDAO (DGD)	Value Gold	2.00 %	2.03 %
Status (SNT)	Smartphone Ethereum Gateway	2.00 %	1.73 %
