Holding	Category	RebalancingWeight	CurrentWeight
Ethereum (ETH)	Platform	32.00 %	27.88 %
Bitcoin (BTC)	Value	32.00 %	37.19 %
WeTrust (TRST)	Lending	8.00 %	7.55 %
OmiseGO (OMG)	Decentralized Exchange and Payments Platform	8.00 %	6.71 %
TenX (PAY)	Debit Card	6.00 %	5.39 %
Civic (CVC)	Identity Management	6.00 %	6.08 %
Status (SNT)	Smartphone Ethereum Gateway	6.00 %	7.45 %
Numeraire (NMR)	Hedge Fund	2.00 %	1.75 %
