Holding	Category	RebalancingWeight	CurrentWeight
Bitcoin (BTC)	Value	21.16 %	32.69 %
Ethereum (ETH)	Platform	15.02 %	15.29 %
Dash (DASH)	Anonymity	13.67 %	12.62 %
Monero (XMR)	Anonymity	9.74 %	7.98 %
Waves (WAVES)	Programmable Platform	3.97 %	2.85 %
Golem (GNT)	Decentralized Computing	3.86 %	2.98 %
Augur (REP)	Prediction	3.71 %	3.27 %
WINGS (WINGS)	Platform	3.67 %	2.80 %
Lisk (LSK)	Platform	3.49 %	2.57 %
MaidSafeCoin (MAID)	Storage	2.63 %	1.74 %
GameCredits (GAME)	Gaming	2.42 %	1.50 %
OmiseGO (OMG)	Decentralized Exchange and Payments Platform	1.96 %	1.40 %
Basic Attention Token (BAT)	Advertisement	1.83 %	1.00 %
SingularDTV (SNGLS)	Media / TV	1.33 %	1.09 %
Chronobank (TIME)	Decentralized Labour Market	1.26 %	1.58 %
DigixDAO (DGD)	Value Gold	1.24 %	1.09 %
Steem (STEEM)	Media	1.12 %	0.75 %
Civic (CVC)	Identity Management	1.07 %	0.97 %
Aragon (ANT)	Enterprise Management	0.98 %	0.76 %
Bancor (BNT)	Financial Derivative	0.98 %	0.86 %
Humaniq (HMQ)	Decentralized Bankng	0.89 %	0.74 %
Token card (TKN)	Debit Card	0.87 %	0.49 %
Status (SNT)	Smartphone Ethereum Gateway	0.71 %	0.93 %
FirstBlood (1ST)	Gaming Solution	0.71 %	0.44 %
Synereo (AMP)	Platform	0.60 %	0.46 %
iExec (RLC)	Decentralized Computing	0.59 %	0.74 %
WeTrust (TRST)	Lending	0.28 %	0.23 %
Matchpool (GUP)	Matchmaking	0.24 %	0.19 %
