Holding	Category	RebalancingWeight	CurrentWeight
Bitcoin (BTC)	Value	58.00 %	62.09 %
Ethereum (ETH)	Platform	21.00 %	19.47 %
WINGS (WINGS)	Platform	6.00 %	5.00 %
Waves (WAVES)	Programmable Platform	5.00 %	4.50 %
Bancor (BNT)	Financial Derivative	5.00 %	4.63 %
Aragon (ANT)	Enterprise Management	5.00 %	4.31 %
