Holding	Category	RebalancingWeight	CurrentWeight
Waves (WAVES)	Programmable Platform	25.00 %	19.98 %
Bitcoin (BTC)	Value	25.00 %	43.05 %
MaidSafeCoin (MAID)	Storage	15.00 %	11.09 %
Basic Attention Token (BAT)	Advertisement	10.00 %	6.08 %
GameCredits (GAME)	Gaming	10.00 %	6.83 %
WINGS (WINGS)	Platform	10.00 %	8.51 %
Melon (MLN)	Digital Asset Managing Platform	5.00 %	4.46 %
