Holding	Category	RebalancingWeight	CurrentWeight
Bitcoin (BTC)	Value	16.00 %	16.29 %
Ethereum (ETH)	Platform	13.00 %	12.91 %
Dash (DASH)	Anonymity	13.00 %	13.03 %
TenX (PAY)	Debit Card	3.50 %	3.46 %
Augur (REP)	Prediction	3.00 %	3.01 %
Steem (STEEM)	Media	3.00 %	2.94 %
Waves (WAVES)	Programmable Platform	3.00 %	3.00 %
OmiseGO (OMG)	Decentralized Exchange and Payments Platform	3.00 %	2.93 %
Lisk (LSK)	Platform	3.00 %	2.95 %
Golem (GNT)	Decentralized Computing	3.00 %	2.95 %
DigixDAO (DGD)	Value Gold	3.00 %	2.96 %
Status (SNT)	Smartphone Ethereum Gateway	3.00 %	3.02 %
Qtum (QTUM)	Platform	3.00 %	2.94 %
Metal (MTL)	Payment Service	2.50 %	2.40 %
GameCredits (GAME)	Gaming	2.50 %	2.52 %
MaidSafeCoin (MAID)	Storage	2.00 %	2.08 %
Aragon (ANT)	Enterprise Management	2.00 %	2.07 %
iExec (RLC)	Decentralized Computing	2.00 %	2.01 %
Civic (CVC)	Identity Management	2.00 %	1.98 %
Quantum Resistant Ledger (QRL)	Platform	2.00 %	2.02 %
FunFair (FUN)	Gambling Platform	1.50 %	1.43 %
Humaniq (HMQ)	Decentralized Bankng	1.50 %	1.55 %
0x (ZRX)	Decentralized Exchange Protocol	1.50 %	1.50 %
District0x (DNT)	Decentralized infrastructure	1.50 %	1.56 %
SingularDTV (SNGLS)	Media / TV	1.00 %	1.04 %
Basic Attention Token (BAT)	Advertisement	1.00 %	1.00 %
Gnosis (GNO)	Prediction Market	1.00 %	1.02 %
Storj (STORJ)	Storage	1.00 %	0.99 %
Bancor (BNT)	Financial Derivative	1.00 %	0.99 %
Mysterium (MYST)	Decentralized VPN Service	1.00 %	0.98 %
WeTrust (TRST)	Lending	0.50 %	0.49 %
