Holding	Category	RebalancingWeight	CurrentWeight
Ethereum (ETH)	Platform	20.00 %	20.35 %
Bitcoin (BTC)	Value	15.00 %	14.09 %
Monero (XMR)	Anonymity	7.50 %	6.92 %
Dash (DASH)	Anonymity	7.50 %	7.60 %
WeTrust (TRST)	Lending	5.00 %	5.62 %
Melon (MLN)	Digital Asset Managing Platform	5.00 %	5.19 %
0x (ZRX)	Decentralized Exchange Protocol	5.00 %	5.22 %
FirstBlood (1ST)	Gaming Solution	5.00 %	4.49 %
FunFair (FUN)	Gambling Platform	5.00 %	4.61 %
Bancor (BNT)	Financial Derivative	5.00 %	5.06 %
Status (SNT)	Smartphone Ethereum Gateway	5.00 %	4.49 %
Aragon (ANT)	Enterprise Management	5.00 %	6.21 %
Civic (CVC)	Identity Management	5.00 %	5.79 %
Mysterium (MYST)	Decentralized VPN Service	5.00 %	4.35 %
