Holding	Category	RebalancingWeight	CurrentWeight
Ethereum (ETH)	Platform	20.00 %	23.66 %
Nexium (NXC)	In-game Currency	10.00 %	6.88 %
Bitcoin (BTC)	Value	10.00 %	17.99 %
Steem (STEEM)	Media	10.00 %	7.80 %
Cofound.it (CFI)	Crowdfunding Platform	10.00 %	7.43 %
Civic (CVC)	Identity Management	4.00 %	4.28 %
OmiseGO (OMG)	Decentralized Exchange and Payments Platform	4.00 %	3.35 %
TenX (PAY)	Debit Card	4.00 %	3.40 %
Basic Attention Token (BAT)	Advertisement	4.00 %	2.52 %
Melon (MLN)	Digital Asset Managing Platform	4.00 %	3.72 %
FunFair (FUN)	Gambling Platform	4.00 %	2.16 %
Aragon (ANT)	Enterprise Management	4.00 %	3.62 %
GameCredits (GAME)	Gaming	4.00 %	2.88 %
Augur (REP)	Prediction	4.00 %	4.12 %
Status (SNT)	Smartphone Ethereum Gateway	4.00 %	6.20 %
